Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-10-15,Moonrise Kingdom,2012,https://boxd.it/2cV3t9,4,,,2021-10-15
2021-10-24,The Last Samurai,2003,https://boxd.it/2enjQj,3.5,,,2021-10-24
2021-10-27,Dune,2021,https://boxd.it/2eNtD7,3,,,2021-10-26
2021-10-27,After We Fell,2021,https://boxd.it/2eNuPD,2.5,,,2021-10-26
2021-11-02,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/2fOfpV,4,,,2021-11-01
2021-11-05,Scenes from a Marriage,2021,https://boxd.it/2ggNIj,4.5,Yes,,2021-11-05
2021-11-07,The Souvenir,2019,https://boxd.it/2gyNA1,2.5,,,2021-11-06
2021-11-21,A Tale of Winter,1992,https://boxd.it/2iKI0f,3,,,2021-11-21
2021-11-22,Eiffel,2021,https://boxd.it/2iUAnP,3.5,Yes,,2021-11-21
2021-11-22,Closer,2004,https://boxd.it/2iUC1h,,,,2021-11-21
2021-11-28,Cinema Paradiso,1988,https://boxd.it/2jMrtn,4.5,,,2021-11-27
2021-12-09,Rush,2013,https://boxd.it/2lsPo5,4.5,,,2021-12-09
2021-12-12,Jerry Maguire,1996,https://boxd.it/2lPRDx,3.5,,,2021-12-11
2021-12-12,How to Become a Tyrant,2021,https://boxd.it/2lScY1,3.5,,,2021-12-11
2021-12-16,"Ana, My Love",2017,https://boxd.it/2mv6ax,3.5,,,2021-12-15
2021-12-18,When Harry Met Sally...,1989,https://boxd.it/2mQSEn,4,,,2021-12-18
2021-12-23,Remember us,2018,https://boxd.it/2nOdPJ,4.5,,,2021-12-22
2022-01-01,Cem Yılmaz: Diamond Elite Platinum Plus,2021,https://boxd.it/2q69d1,4,,,2021-12-31
2022-01-03,A Broken Love Story,1982,https://boxd.it/2qI6nN,3.5,,,2022-01-02
2022-01-15,Don't Look Up,2021,https://boxd.it/2tLVrJ,4,,,2022-01-14
2022-01-20,The Social Network,2010,https://boxd.it/2v5ac7,3.5,,,2022-01-20
2022-01-21,Fantastic Mr. Fox,2009,https://boxd.it/2vfjxX,4,,,2022-01-20
2022-02-24,The Worst Person in the World,2021,https://boxd.it/2BJ7OL,4,,,2022-02-23
2022-03-01,Brothers,2009,https://boxd.it/2CAJwL,3.5,,,2022-02-28
2022-03-11,Mulholland Drive,2001,https://boxd.it/2Eq4T3,0.5,,,2022-03-11
2022-03-26,Notting Hill,1999,https://boxd.it/2He3Yp,4,,,2022-03-25
