Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19458775,Otomatik Portakal,Anthony Burgess,"Burgess, Anthony",Dost Körpe,"=""9944885703""","=""9789944885706""",4,Türkiye İş Bankası Kültür Yayınları,Paperback,172,2013,1962,,2024/10/10,,,read,,,,1,0
25382457,Bir Kadının Yaşamından Yirmi Dört Saat,Stefan Zweig,"Zweig, Stefan",Mahmure Kahraman,"=""6053324221""","=""9786053324225""",3,Türkiye İş Bankası Kültür Yayınları,Paperback,80,2015,1925,,2024/10/10,,,read,,,,1,0
23642646,Kafamda Bir Tuhaflık,Orhan Pamuk,"Pamuk, Orhan",,"=""""","=""""",5,Yapı Kredi Yayınları,Paperback,480,2014,2014,,2024/10/10,,,read,,,,1,0
28718879,Kırmızı Saçlı Kadın,Orhan Pamuk,"Pamuk, Orhan",İshak Reyna,"=""9750835603""","=""9789750835605""",2,Yapı Kredi Yayınları,Paperback,195,2016,2016,,2024/10/10,,,read,,,,1,0
15790046,Kuşlar da Gitti,Yaşar Kemal,"Kemal, Yaşar",,"=""9750807219""","=""9789750807213""",3,Yapı Kredi Yayınları ,Paperback,79,2003,1978,,2024/10/10,,,read,,,,1,0
15738576,Karısını Şapka Sanan Adam,Oliver Sacks,"Sacks, Oliver",Çiğdem Çalkılıç,"=""""","=""""",4,Yapı Kredi Yayınları,Paperback,262,2003,1985,,2024/10/10,,,read,,,,1,0
15821688,Gertrud,Hermann Hesse,"Hesse, Hermann",Kâmuran Şipal,"=""9750805895""","=""9789750805899""",5,Yapı Kredi Yayınları,Paperback,186,2003,1910,,2024/10/10,,,read,,,,1,0
7990630,Çavdar Tarlasında Çocuklar,J.D. Salinger,"Salinger, J.D.",Coşkun Yerli,"=""""","=""""",4,Yapı Kredi Yayınları,Paperback,198,2012,1951,,2024/10/10,,,read,,,,1,0
7093555,İçimizdeki Şeytan,Sabahattin Ali,"Ali, Sabahattin",,"=""""","=""""",3,Yapı Kredi Yayınları,Paperback,268,2014,1940,,2024/10/10,,,read,,,,1,0
11524930,Berlin'in Nar Çiçeği,Füruzan,"Füruzan, Füruzan",,"=""""","=""""",4,Yapı Kredi Yayınları,Paperback,231,1995,1995,,2024/10/10,,,read,,,,1,0
7786378,Gül Mevsimidir,Füruzan,"Füruzan, Füruzan",Murat Yalçın,"=""9753632576""","=""9789753632577""",3,YKY,Paperback,86,2015,1973,,2024/10/10,,,read,,,,1,0
58718289,Son Kuşlar,Sait Faik Abasıyanık,"Abasıyanık, Sait Faik",,"=""625405437X""","=""9786254054372""",3,Türkiye İş Bankası Kültür Yayınları,Paperback,144,2012,1952,,2024/10/10,,,read,,,,1,0
16168868,Kayıp Aranıyor,Sait Faik Abasıyanık,"Abasıyanık, Sait Faik",,"=""6053607460""","=""9786053607465""",3,Türkiye İş Bankası Kültür Yayınları,Paperback,107,2012,1953,,2024/10/10,,,read,,,,1,0
17208661,Büyük Umutlar,Charles Dickens,"Dickens, Charles",Nihal Yeğinobalı,"=""9750700570""","=""9789750700576""",4,Can Yayınları,Paperback,656,2015,1861,,2024/10/10,,,read,,,,1,0
