Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-11-21,Bihter: A Forbidden Passion,2023,https://boxd.it/5c6HJN,0.5,Yes,Arsen hanımın saçlar şaka mı,,2023-11-21
2023-12-17,I Know This Much Is True,2020,https://boxd.it/5kXngJ,4.5,,"""you don't just give up on the people you love, Dessa!
you don't just walk away from people when things get tough for them 
you don't act like you had no history with them and start a new life",,2023-12-16
2024-01-13,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/5zISzd,4,,"If at first you dont succeed, have some cake",,2024-01-13
2024-01-14,Priscilla,2023,https://boxd.it/5Ae8sT,3,,Nobodyler kendi filmlerini yaptırmasın,,2024-01-13
2024-04-05,Certified Copy,2010,https://boxd.it/6daJzb,4,,"Everything changes, and promises won't stop that. You don't expect a tree to promise to keep its blossom after spring is over..",,2024-04-05
2024-04-16,The Broken Circle Breakdown,2012,https://boxd.it/6hW5zR,4,,"<blockquote>I always knew. That it was too good to be true. That it couldn't last. That life isn't like that, life isn't generous. You mustn't love someone. You mustn't become attached to someone. Life begrudges you that. It takes everything away from you and it laughs in your face. It betrays you.</blockquote>",,2024-04-16
2024-06-17,Sharp Objects,2018,https://boxd.it/6GGCJ9,3.5,,Her sey iyi hos da bu kiz sirtini nasil cizdi biri bunu aciklasin,,2024-06-16
2024-11-17,A Nos Amours,1983,https://boxd.it/7Pog3D,1,,Ne?????,,2024-11-16
2025-04-07,The Friend,2024,https://boxd.it/9ln4E7,3,,"I want you to live as long as I live, anything less is unfair..",,2025-04-06
2025-07-01,Frances Ha,2012,https://boxd.it/aaXvWX,5,,28. yas gunumde bi daha!,,2025-07-01
2025-07-07,Kes,1969,https://boxd.it/afoeXJ,4.5,,"Maybe I'm bad sometimes, but not that bad, sir. I know people worse than me, but they get away with it.",,2025-07-07
2025-08-05,The Sacrifice,1986,https://boxd.it/aCkh1n,1,,Existential cuma hutbesi,,2025-08-03
2025-08-12,Ulysses' Gaze,1995,https://boxd.it/aHHFcP,5,,"<blockquote>“The first thing God created was the journey, then came doubt, and nostalgia.”</blockquote>",,2025-08-12
2025-11-08,Pierrot le Fou,1965,https://boxd.it/bDwu9b,2,,I think I like movies about Godard but Godard’s movies themselves… sorry c’est pas mon truc!,,2025-11-07
2026-02-14,Wuthering Heights,2026,https://boxd.it/d7rKPl,0.5,,Ay neeeğ,,2026-02-13
2026-02-21,Museum of Innocence,2026,https://boxd.it/der0cv,4,,1 puanı Orhan beyin oyunculuğundan kırıyorum,,2026-02-21
2026-03-10,Punch-Drunk Love,2002,https://boxd.it/dsNn8h,4,,“I have so much strength in me. You have no idea. I have a love in my life. It makes me stronger than anything you can imagine.”,,2026-03-09
2026-03-14,One Battle After Another,2025,https://boxd.it/dvOJl7,4.5,,Wow!,,2026-03-13
2026-03-16,Little Miss Sunshine,2006,https://boxd.it/dxead9,4.5,Yes,"Everyone, just... pretend to be normal",,2026-03-15
2026-04-14,Free Willy,1993,https://boxd.it/dXKYZZ,5,Yes,"Some movies just feel like home and this one will always be a return to my childhood. I dont even know how many times I watched Free Willy as a kid but coming across it in the flight selection and watching it now as an adult brought back that exact same feeling.

I know its not a five star film in the traditional sense, but to me its something else entirely because it still captures that same simple, emotional, almost magical feeling that is so hard to put into words :')",,2026-04-13
